UTC_0_0,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2021-03-03T00:07:51.00,45.4904,-123.2249,92,328.5054,14.0000
2021-03-03T00:07:52.00,45.4904,-123.2249,92,319.7258,14.0000
2021-03-03T00:07:53.00,45.4904,-123.2249,92,309.5377,14.0000
2021-03-03T00:07:54.00,45.4904,-123.2250,92,305.7932,14.0000
2021-03-03T00:07:55.00,45.4904,-123.2250,92,307.0953,14.0000
2021-03-03T00:07:56.00,45.4904,-123.2250,92,310.6615,14.0000
2021-03-03T00:07:57.00,45.4904,-123.2250,92,314.9617,14.0000
2021-03-03T00:07:58.00,45.4905,-123.2250,92,317.5003,14.0000
2021-03-03T00:07:59.00,45.4905,-123.2250,92,317.8023,14.0000
2021-03-03T00:08:00.00,45.4905,-123.2251,92,314.6979,14.0000
2021-03-03T00:08:01.00,45.4905,-123.2251,92,312.1894,14.0000
2021-03-03T00:08:02.00,45.4905,-123.2251,92,309.5786,14.0000
2021-03-03T00:08:03.00,45.4905,-123.2251,92,306.4161,14.0000
2021-03-03T00:08:04.00,45.4905,-123.2251,92,305.2574,14.0000
2021-03-03T00:08:05.00,45.4905,-123.2251,92,306.8183,14.0000
2021-03-03T00:08:06.00,45.4905,-123.2251,92,309.0399,14.0000
2021-03-03T00:08:07.00,45.4905,-123.2252,92,326.2616,14.0000
2021-03-03T00:08:08.00,45.4905,-123.2252,92,333.3538,14.0000
2021-03-03T00:08:09.00,45.4905,-123.2252,92,333.7669,14.0000
2021-03-03T00:08:10.00,45.4906,-123.2252,92,332.2142,14.0000
2021-03-03T00:08:11.00,45.4906,-123.2252,92,327.1334,14.0000
2021-03-03T00:08:12.00,45.4906,-123.2252,92,316.2465,14.0000
2021-03-03T00:08:13.00,45.4906,-123.2252,92,304.9039,14.0000
2021-03-03T00:08:14.00,45.4906,-123.2252,92,299.6378,14.0000
2021-03-03T00:08:15.00,45.4906,-123.2253,92,301.2475,14.0000
2021-03-03T00:08:16.00,45.4906,-123.2253,92,307.5447,14.0000
2021-03-03T00:08:17.00,45.4906,-123.2253,92,315.8484,14.0000
2021-03-03T00:08:18.00,45.4906,-123.2253,92,321.6177,14.0000
2021-03-03T00:08:19.00,45.4907,-123.2253,92,325.2416,14.0000
2021-03-03T00:08:20.00,45.4907,-123.2253,92,325.5692,14.0000
2021-03-03T00:08:21.00,45.4907,-123.2253,92,322.5055,14.0000
2021-03-03T00:08:22.00,45.4907,-123.2254,92,317.4750,14.0000
2021-03-03T00:08:23.00,45.4907,-123.2254,92,312.0167,14.0000
2021-03-03T00:08:24.00,45.4907,-123.2254,92,307.8717,14.0000
2021-03-03T00:08:25.00,45.4907,-123.2254,92,308.5945,14.0000
2021-03-03T00:08:26.00,45.4907,-123.2254,92,313.6413,14.0000
2021-03-03T00:08:27.00,45.4907,-123.2254,92,321.7495,14.0000
2021-03-03T00:08:28.00,45.4907,-123.2254,92,328.4275,14.0000
2021-03-03T00:08:29.00,45.4908,-123.2255,92,330.8854,14.0000
2021-03-03T00:08:30.00,45.4908,-123.2255,92,330.2615,14.0000
2021-03-03T00:08:31.00,45.4908,-123.2255,92,326.3856,14.0000
2021-03-03T00:08:32.00,45.4908,-123.2255,92,319.7699,14.0000
2021-03-03T00:08:33.00,45.4908,-123.2255,92,312.5208,14.0000
2021-03-03T00:08:34.00,45.4908,-123.2255,92,306.8586,14.0000
2021-03-03T00:08:35.00,45.4908,-123.2255,92,306.4904,14.0000
2021-03-03T00:08:36.00,45.4908,-123.2255,92,310.8855,14.0000
2021-03-03T00:08:37.00,45.4908,-123.2256,92,317.2679,14.0000
2021-03-03T00:08:38.00,45.4909,-123.2256,92,323.1801,14.0000
2021-03-03T00:08:39.00,45.4909,-123.2256,92,327.0297,14.0000
2021-03-03T00:08:40.00,45.4909,-123.2256,92,327.9720,14.0000
2021-03-03T00:08:41.00,45.4909,-123.2256,92,325.3159,14.0000
2021-03-03T00:08:42.00,45.4909,-123.2256,92,318.9821,14.0000
2021-03-03T00:08:43.00,45.4909,-123.2256,92,311.6814,14.0000
2021-03-03T00:08:44.00,45.4909,-123.2256,92,307.1089,14.0000
2021-03-03T00:08:45.00,45.4909,-123.2257,92,307.1466,14.0000
2021-03-03T00:08:46.00,45.4909,-123.2257,92,312.1292,14.0000
2021-03-03T00:08:47.00,45.4909,-123.2257,92,322.1233,14.0000
2021-03-03T00:08:48.00,45.4910,-123.2257,92,329.4036,14.0000
2021-03-03T00:08:49.00,45.4910,-123.2257,92,331.9141,14.0000
2021-03-03T00:08:50.00,45.4910,-123.2257,92,331.1998,14.0000
2021-03-03T00:08:51.00,45.4910,-123.2257,92,327.0747,14.0000
2021-03-03T00:08:52.00,45.4910,-123.2257,92,320.3300,14.0000
2021-03-03T00:08:53.00,45.4910,-123.2258,92,312.6117,14.0000
2021-03-03T00:08:54.00,45.4910,-123.2258,92,308.2452,14.0000
2021-03-03T00:08:55.00,45.4910,-123.2258,92,308.9555,14.0000
2021-03-03T00:08:56.00,45.4910,-123.2258,92,314.1945,14.0000
2021-03-03T00:08:57.00,45.4911,-123.2258,92,320.5169,14.0000
2021-03-03T00:08:58.00,45.4911,-123.2258,92,325.0960,14.0000
2021-03-03T00:08:59.00,45.4911,-123.2258,92,327.6359,14.0000
2021-03-03T00:09:00.00,45.4911,-123.2258,92,328.1875,14.0000
2021-03-03T00:09:01.00,45.4911,-123.2259,92,325.6019,14.0000
2021-03-03T00:09:02.00,45.4911,-123.2259,92,319.6078,14.0000
2021-03-03T00:09:03.00,45.4911,-123.2259,92,313.1622,14.0000
2021-03-03T00:09:04.00,45.4911,-123.2259,92,309.5672,14.0000
2021-03-03T00:09:05.00,45.4911,-123.2259,92,307.4785,14.0000
2021-03-03T00:09:06.00,45.4911,-123.2259,92,312.2376,14.0000
2021-03-03T00:09:07.00,45.4912,-123.2260,92,320.9611,14.0000
2021-03-03T00:09:08.00,45.4912,-123.2260,92,327.0010,14.0000
2021-03-03T00:09:09.00,45.4912,-123.2260,92,329.9115,14.0000
2021-03-03T00:09:10.00,45.4912,-123.2260,92,329.7132,14.0000
2021-03-03T00:09:11.00,45.4912,-123.2260,92,326.3713,14.0000
2021-03-03T00:09:12.00,45.4912,-123.2260,92,320.4772,14.0000
2021-03-03T00:09:13.00,45.4912,-123.2260,92,314.8319,14.0000
2021-03-03T00:09:14.00,45.4912,-123.2260,92,310.1812,14.0000
2021-03-03T00:09:15.00,45.4913,-123.2261,92,309.3122,14.0000
2021-03-03T00:09:16.00,45.4913,-123.2261,92,315.2472,14.0000
2021-03-03T00:09:17.00,45.4913,-123.2261,92,323.1264,14.0000
2021-03-03T00:09:18.00,45.4913,-123.2261,92,329.5417,14.0000
2021-03-03T00:09:19.00,45.4913,-123.2261,92,328.3569,14.0000
2021-03-03T00:09:20.00,45.4913,-123.2261,92,326.9025,14.0000
2021-03-03T00:09:21.00,45.4913,-123.2261,92,325.5869,14.0000
2021-03-03T00:09:22.00,45.4913,-123.2261,92,324.1597,14.0000
2021-03-03T00:09:23.00,45.4913,-123.2262,92,322.3965,14.0000
2021-03-03T00:09:24.00,45.4913,-123.2262,92,321.0917,14.0000
2021-03-03T00:09:25.00,45.4914,-123.2262,92,320.3695,14.0000
2021-03-03T00:09:26.00,45.4914,-123.2262,92,319.6703,14.0000
