UTC+0.0,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2016-11-03T18:37:27.715,0,0,0,0,0
2016-11-03T18:37:28.806,0,0,0,0,0
2016-11-03T18:37:29.897,0,0,0,0,0
2016-11-03T18:37:30.991,0,0,0,0,0
2016-11-03T18:37:32.000,0,0,0,0,0
2016-11-03T18:37:33.173,0,0,0,0,0
2016-11-03T18:37:34.263,0,0,0,0,0
2016-11-03T18:37:35.354,0,0,0,0,0
2016-11-03T18:37:36.471,0,0,0,0,0
2016-11-03T18:37:37.562,0,0,0,0,0
2016-11-03T18:37:38.653,0,0,0,0,0
2016-11-03T18:37:39.744,0,0,0,0,0
2016-11-03T18:37:40.835,0,0,0,0,0
2016-11-03T18:37:41.928,0,0,0,0,0
2016-11-03T18:37:43.000,0,0,0,0,0
2016-11-03T18:37:44.110,0,0,0,0,0
2016-11-03T18:37:45.201,0,0,0,0,0
2016-11-03T18:37:46.292,0,0,0,0,0
2016-11-03T18:37:47.386,0,0,0,0,0
2016-11-03T18:37:48.477,0,0,0,0,0
2016-11-03T18:37:49.568,0,0,0,0,0
2016-11-03T18:37:50.659,0,0,0,0,0
2016-11-03T18:37:51.757,0,0,0,0,0
2016-11-03T18:37:52.848,0,0,0,0,0
2016-11-03T18:37:53.939,0,0,0,0,0
2016-11-03T18:37:55.000,0,0,0,0,0
2016-11-03T18:37:56.120,0,0,0,0,0
2016-11-03T18:37:57.211,0,0,0,0,0
2016-11-03T18:37:58.302,0,0,0,0,0
2016-11-03T18:37:59.393,0,0,0,0,0
2016-11-03T18:38:00.484,0,0,0,0,0
2016-11-03T18:38:01.575,0,0,0,0,0
2016-11-03T18:38:02.668,0,0,0,0,0
2016-11-03T18:38:03.759,0,0,0,0,0
2016-11-03T18:38:04.850,0,0,0,0,0
2016-11-03T18:38:05.941,0,0,0,0,0
2016-11-03T18:38:07.000,0,0,0,0,0
2016-11-03T18:38:08.143,0,0,0,0,0
2016-11-03T18:38:09.234,0,0,0,0,0
2016-11-03T18:38:10.325,0,0,0,0,0
2016-11-03T18:38:11.416,0,0,0,0,0
2016-11-03T18:38:12.510,0,0,0,0,0
2016-11-03T18:38:13.601,0,0,0,0,0
2016-11-03T18:38:14.692,0,0,0,0,0
2016-11-03T18:38:15.783,0,0,0,0,0
2016-11-03T18:38:16.874,0,0,0,0,0
2016-11-03T18:38:17.969,0,0,0,0,0
2016-11-03T18:38:19.000,0,0,0,0,0
2016-11-03T18:38:20.151,0,0,0,0,0
2016-11-03T18:38:21.241,0,0,0,0,0
2016-11-03T18:38:22.332,0,0,0,0,0
2016-11-03T18:38:23.426,0,0,0,0,0
2016-11-03T18:38:24.517,0,0,0,0,0
2016-11-03T18:38:25.608,0,0,0,0,0
2016-11-03T18:38:26.699,0,0,0,0,0
2016-11-03T18:38:27.790,0,0,0,0,0
2016-11-03T18:38:28.885,0,0,0,0,0
2016-11-03T18:38:29.975,0,0,0,0,0
2016-11-03T18:38:31.000,0,0,0,0,0
2016-11-03T18:38:32.157,0,0,0,0,0
2016-11-03T18:38:33.251,0,0,0,0,0
2016-11-03T18:38:34.342,0,0,0,0,0
2016-11-03T18:38:35.433,0,0,0,0,0
2016-11-03T18:38:36.523,0,0,0,0,0
2016-11-03T18:38:37.614,0,0,0,0,0
2016-11-03T18:38:38.730,0,0,0,0,0
2016-11-03T18:38:39.821,0,0,0,0,0
2016-11-03T18:38:40.912,0,0,0,0,0
2016-11-03T18:38:42.000,0,0,0,0,0
2016-11-03T18:38:43.000,0,0,0,0,0
2016-11-03T18:38:44.188,0,0,0,0,0
2016-11-03T18:38:45.279,0,0,0,0,0
2016-11-03T18:38:46.370,0,0,0,0,0
2016-11-03T18:38:47.461,0,0,0,0,0
2016-11-03T18:38:48.552,0,0,0,0,0
2016-11-03T18:38:49.646,0,0,0,0,0
2016-11-03T18:38:50.737,0,0,0,0,0
2016-11-03T18:38:51.828,0,0,0,0,0
2016-11-03T18:38:52.918,0,0,0,0,0
2016-11-03T18:38:54.000,0,0,0,0,0
2016-11-03T18:38:55.100,0,0,0,0,0
2016-11-03T18:38:56.191,0,0,0,0,0
2016-11-03T18:38:57.282,0,0,0,0,0
2016-11-03T18:38:58.373,0,0,0,0,0
2016-11-03T18:38:59.467,0,0,0,0,0
2016-11-03T18:39:00.558,0,0,0,0,0
2016-11-03T18:39:01.649,0,0,0,0,0
2016-11-03T18:39:02.740,0,0,0,0,0
2016-11-03T18:39:03.831,0,0,0,0,0
2016-11-03T18:39:04.924,0,0,0,0,0
2016-11-03T18:39:06.000,0,0,0,0,0
2016-11-03T18:39:07.106,0,0,0,0,0
2016-11-03T18:39:08.197,0,0,0,0,0
2016-11-03T18:39:09.288,0,0,0,0,0
2016-11-03T18:39:10.404,0,0,0,0,0
2016-11-03T18:39:11.495,0,0,0,0,0
2016-11-03T18:39:12.585,0,0,0,0,0
2016-11-03T18:39:13.676,0,0,0,0,0
2016-11-03T18:39:14.770,0,0,0,0,0
2016-11-03T18:39:15.861,0,0,0,0,0
2016-11-03T18:39:16.952,0,0,0,0,0
2016-11-03T18:39:18.000,0,0,0,0,0
2016-11-03T18:39:19.134,0,0,0,0,0
2016-11-03T18:39:20.228,0,0,0,0,0
2016-11-03T18:39:21.319,0,0,0,0,0
2016-11-03T18:39:22.409,0,0,0,0,0
2016-11-03T18:39:23.500,0,0,0,0,0
2016-11-03T18:39:24.591,0,0,0,0,0
2016-11-03T18:39:25.685,0,0,0,0,0
2016-11-03T18:39:26.776,0,0,0,0,0
2016-11-03T18:39:27.867,0,0,0,0,0
2016-11-03T18:39:28.958,0,0,0,0,0
2016-11-03T18:39:30.000,0,0,0,0,0
2016-11-03T18:39:31.143,0,0,0,0,0
2016-11-03T18:39:32.234,0,0,0,0,0
2016-11-03T18:39:33.325,0,0,0,0,0
2016-11-03T18:39:34.415,0,0,0,0,0
2016-11-03T18:39:35.509,0,0,0,0,0
2016-11-03T18:39:36.600,0,0,0,0,0
2016-11-03T18:39:37.691,0,0,0,0,0
2016-11-03T18:39:38.782,0,0,0,0,0
2016-11-03T18:39:39.873,0,0,0,0,0
2016-11-03T18:39:40.989,0,0,0,0,0
2016-11-03T18:39:42.000,0,0,0,0,0
2016-11-03T18:39:43.171,0,0,0,0,0
2016-11-03T18:39:44.261,0,0,0,0,0
2016-11-03T18:39:45.352,0,0,0,0,0
2016-11-03T18:39:46.448,0,0,0,0,0
2016-11-03T18:39:47.539,0,0,0,0,0
2016-11-03T18:39:48.629,0,0,0,0,0
2016-11-03T18:39:49.720,0,0,0,0,0
2016-11-03T18:39:50.811,0,0,0,0,0
2016-11-03T18:39:51.905,0,0,0,0,0
2016-11-03T18:39:52.996,0,0,0,0,0
2016-11-03T18:39:54.000,0,0,0,0,0
2016-11-03T18:39:55.178,0,0,0,0,0
