UTC_0_0,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2021-03-03T00:36:29.00,45.4901,-123.2246,14, 35.8181,14.0000
2021-03-03T00:36:30.00,45.4901,-123.2245,14, 29.7856,14.0000
2021-03-03T00:36:31.00,45.4901,-123.2245,14, 24.7405,14.0000
2021-03-03T00:36:32.00,45.4901,-123.2245,14, 19.6990,14.0000
2021-03-03T00:36:33.00,45.4901,-123.2245,14, 13.5758,14.0000
2021-03-03T00:36:34.00,45.4901,-123.2245,14,  7.2426,14.0000
2021-03-03T00:36:35.00,45.4902,-123.2245,14,  0.5022,14.0000
2021-03-03T00:36:36.00,45.4902,-123.2245,14,354.2073,14.0000
2021-03-03T00:36:37.00,45.4902,-123.2245,14,347.0112,14.0000
2021-03-03T00:36:38.00,45.4902,-123.2245,14,339.6933,14.0000
2021-03-03T00:36:39.00,45.4902,-123.2245,14,332.3807,14.0000
2021-03-03T00:36:40.00,45.4902,-123.2245,14,325.3977,14.0000
2021-03-03T00:36:41.00,45.4902,-123.2245,14,320.0896,14.0000
2021-03-03T00:36:42.00,45.4903,-123.2246,14,315.8129,14.0000
2021-03-03T00:36:43.00,45.4903,-123.2246,14,311.3041,14.0000
2021-03-03T00:36:44.00,45.4903,-123.2246,14,307.6570,14.0000
2021-03-03T00:36:45.00,45.4903,-123.2246,14,303.1704,14.0000
2021-03-03T00:36:46.00,45.4903,-123.2246,14,301.6475,14.0000
2021-03-03T00:36:47.00,45.4903,-123.2246,14,301.4818,14.0000
2021-03-03T00:36:48.00,45.4903,-123.2247,14,303.9508,14.0000
2021-03-03T00:36:49.00,45.4903,-123.2247,14,307.0410,14.0000
2021-03-03T00:36:50.00,45.4903,-123.2247,14,308.3411,14.0000
2021-03-03T00:36:51.00,45.4903,-123.2247,14,309.5352,14.0000
2021-03-03T00:36:52.00,45.4903,-123.2247,14,309.7367,14.0000
2021-03-03T00:36:53.00,45.4903,-123.2247,14,306.5495,14.0000
2021-03-03T00:36:54.00,45.4903,-123.2248,14,304.2452,14.0000
2021-03-03T00:36:55.00,45.4904,-123.2248,14,303.7744,14.0000
2021-03-03T00:36:56.00,45.4904,-123.2248,14,304.1391,14.0000
2021-03-03T00:36:57.00,45.4904,-123.2248,14,307.1582,14.0000
2021-03-03T00:36:58.00,45.4904,-123.2248,14,316.7173,14.0000
2021-03-03T00:36:59.00,45.4904,-123.2248,14,317.9001,14.0000
2021-03-03T00:37:00.00,45.4904,-123.2249,14,317.0057,14.0000
2021-03-03T00:37:01.00,45.4904,-123.2249,14,314.1346,14.0000
2021-03-03T00:37:02.00,45.4904,-123.2249,14,302.1076,14.0000
2021-03-03T00:37:03.00,45.4904,-123.2249,14,299.7374,14.0000
2021-03-03T00:37:04.00,45.4904,-123.2249,14,299.9133,14.0000
2021-03-03T00:37:05.00,45.4905,-123.2249,14,305.3741,14.0000
2021-03-03T00:37:06.00,45.4905,-123.2249,14,321.0152,14.0000
2021-03-03T00:37:07.00,45.4905,-123.2250,14,322.2307,14.0000
2021-03-03T00:37:08.00,45.4905,-123.2250,14,321.7483,14.0000
2021-03-03T00:37:09.00,45.4905,-123.2250,14,318.1115,14.0000
2021-03-03T00:37:10.00,45.4905,-123.2250,14,301.6994,14.0000
2021-03-03T00:37:11.00,45.4905,-123.2250,14,296.9536,14.0000
2021-03-03T00:37:12.00,45.4905,-123.2250,14,297.6300,14.0000
2021-03-03T00:37:13.00,45.4905,-123.2251,14,305.7731,14.0000
2021-03-03T00:37:14.00,45.4905,-123.2251,14,324.4690,14.0000
2021-03-03T00:37:15.00,45.4905,-123.2251,14,328.3804,14.0000
2021-03-03T00:37:16.00,45.4905,-123.2251,14,328.6973,14.0000
2021-03-03T00:37:17.00,45.4906,-123.2251,14,326.3322,14.0000
2021-03-03T00:37:18.00,45.4906,-123.2251,14,319.6573,14.0000
2021-03-03T00:37:19.00,45.4906,-123.2251,14,309.6798,14.0000
2021-03-03T00:37:20.00,45.4906,-123.2251,14,303.7667,14.0000
2021-03-03T00:37:21.00,45.4906,-123.2252,14,304.9906,14.0000
2021-03-03T00:37:22.00,45.4906,-123.2252,14,314.3881,14.0000
2021-03-03T00:37:23.00,45.4906,-123.2252,14,324.2998,14.0000
2021-03-03T00:37:24.00,45.4906,-123.2252,14,327.9799,14.0000
2021-03-03T00:37:25.00,45.4906,-123.2252,14,328.7605,14.0000
2021-03-03T00:37:26.00,45.4907,-123.2252,14,326.3586,14.0000
2021-03-03T00:37:27.00,45.4907,-123.2252,14,320.1680,14.0000
2021-03-03T00:37:28.00,45.4907,-123.2252,14,313.0871,14.0000
2021-03-03T00:37:29.00,45.4907,-123.2253,14,308.2181,14.0000
2021-03-03T00:37:30.00,45.4907,-123.2253,14,307.4058,14.0000
2021-03-03T00:37:31.00,45.4907,-123.2253,14,312.6331,14.0000
2021-03-03T00:37:32.00,45.4907,-123.2253,14,321.8264,14.0000
2021-03-03T00:37:33.00,45.4907,-123.2253,14,326.8897,14.0000
2021-03-03T00:37:34.00,45.4907,-123.2253,14,329.1921,14.0000
2021-03-03T00:37:35.00,45.4907,-123.2253,14,328.5860,14.0000
2021-03-03T00:37:36.00,45.4908,-123.2254,14,325.1965,14.0000
